head	rel	tail
Eager	VISITED_ON	r-T9NHVkcY-_NTdQi5tRX9Ng
u-IgjjNyJt8l_SKcl0KPYgVA	DROVE_FROM	r-uyLcWjja6vRnl5p1s-H1Xg
u-9CjPu63LHFbgyfEusgBq3g	VISITED_ON	u-5SAuwOC7FX6dnlmgts_EoA
Chick_Peas	DROVE_FROM	u--d2daWmftYumOaYpbD5D8Q
u-x8GuHHp7EJylrrq9HqL0fA	CHICKEN	r-Hb09_FIWLdMDpRBXeUHVuQ
r-JmaIRCVHRZZMkpacl6J2ng	REMINDED	r-a5GJb86_csfLvwzfVBnvhQ
u-XgmEAWKBxlQ3vetV5ZXeow	CATAPULTS_TO	u-4OY8QfPV1LR3ggNN4P51OA
u-l5_g5z9eOeXEMhA2x2lIog	CHICKEN	r-Hb09_FIWLdMDpRBXeUHVuQ
r-ICaTGNr_GJDpVTJ_9SgGCA	VISITED_ON	r-zerZabI-xjJAbX5YhrbIdA
u-X9sQEge15Ud_UyEoIk-l3A	REMINDED	u-m-soEL1fMYGlcwzAxG1vyw
r-j3LumSrsgPBWdS67zf_n2w	CATAPULTS_TO	r-zfPfqvpnG1BKHQH2yGg4ZA
r-2qotv2VTgX-ISH9OWClT9Q	FINISH	u-8Pfib70vxqJuaDQwFNL1tQ
r-UDdcm12N-2YjCqdRdSHP3Q	FINISH	r-tzRRTNO_J_n0itEFoxBJqg
u-Dfqc8HPcVkCi71-R3KiqTQ	FINISH	Custard
u-EbxSw9f02Lg4teiC75X6rQ	VISITED_ON	r-dWk_YkzguQVfSEBetOPUTw
Payasam	CHICKEN	r-Hb09_FIWLdMDpRBXeUHVuQ
u-lhWPrEBzorygXA4TpimQ3g	REMEMBER_FROM	r-oFn6-AVkMAYUzcVjL3X6eA
Raita	GETTING_FROM	r-XtMXDKsDQZlOVhxwOxTCBg
r-Hb09_FIWLdMDpRBXeUHVuQ	DROVE_FROM	Vada_Sambhar
r-LBMH067jwhB6opyW1rpauA	DROVE_FROM	u-SS3pK8z82S-SNHryfppwOA
u-mQM_puoEd2BlbELbMqftXw	CATAPULTS_TO	u-tRmW0n2d_Q4c_TXqfUSINA
u-s3yElvDtuLbBPu2RcIDeqA	VISITED_ON	r-aFPjqclPBIiTkyW1bYAjOA
u-_3nFa_jlxuOSEGDvqPLt1g	GETTING_FROM	r-T9NHVkcY-_NTdQi5tRX9Ng
