subject,predicate,object
u-i3y8pLnqRKZe__AQQnF5WQ,VISIT,b-h-psPOmlY0mCOflb3S3rdQ
Garlic_Naan,IS,Garlic_Naan_Hot
b-TAnzFr9NixvCbvUdJMWL5Q,HAS_MENU,Chicken_Biryani
b-P4h8kgy_48oE9vCHJc4BCQ,HAS_MENU,Chicken_Biryani
u-w76bION8x6C2p1EYWx0O6A,RATE,b-k9PfKE7KfztoMpOSx25UpA
b-MgsOZpYSntKSCzNROiWgYQ,HAS_MENU,Naan
Service_Good,ASPECT_ATTR_FOR,b-eRZuxjnaMviiVyvhejwTBQ
Food_Tasty,ASPECT_ATTR_FOR,b-COfzp0tze_F8N13zn40zzg
b-vCx6uieEF0W0mKFK4sT3Yg,HAS_ASPECT,Food
u-Fraxp2IxIZJbct75AnqEbg,WRITE_REVIEW,r-QxN18Tir1rs6qslWAFDDuw
u-OtV8UYg28PLpoFFdHQvKHw,RATE,b-gA4bnK91phT5FTzG4ki3Dw
b-j9YFHVQqxM_qKHIc4nck-A,HAS_ASPECT,Food
b-DeI4KqEeWy0cTdh7Wy5_RA,HAS_MENU,Samosa
u-VO16w17eBZOXO-evJrLvBw,VISIT,b-35KvoWbA3kEsdckaWqG3OA
u-9s9q2KED--YynLvLdIrPFw,RATE,b-jb0-JZMt-6Khsh-VwsDtLQ
u-KHUBAdXo41QPUo2WCbaV3g,WRITE_REVIEW,r-gjiVleSD0O6lGWJ7KvF4pQ
u-s-UnaQMVB418OLJlxSUiUg,WRITE_REVIEW,r-E5z62EHREo99Dbw1VcSFHQ
Food,IS,Food_Good
b-bO_JX-lDo5D5JGZhK5Ly3A,HAS_ASPECT,Service
u-vMtTRr_QO9ESi7ODh6sEHQ,VISIT,b-8PZGCtgG5MZKvz9i3B9gCA
u-CtvxL2SA-Wn0Tt-Ov1dJwQ,ORDER,Batata_Vada
u-RM4PcW_98F0ziM3GrPHS4w,RATE,b-De8Z9rLZOmf-icp3gDxCZA
b-mOsKIonnlHllP9gfbXdgnQ,HAS_REVIEW,r--klUXTBlNms5DOP2oOfvkQ
u-f--ona4DuvVKoKoumX4Tyg,ORDER,Naan
u-44cJKsjBYZvTJLepT49WCQ,RATE,b-Dd1w7xR7Xs3bthwusgy33Q
Chai_Tasty,MENU_ATTR_FOR,b-scM6rLQqoz5dEIgwz_JFsg
u-4OY8QfPV1LR3ggNN4P51OA,RATE,b-Pzs43Fkub-6A9hA1zqpF_w
b-MMOEaEcq-bsg_RYWHSC4_g,HAS_REVIEW,r-F8-1UpKvZh5G2tFGDvu4uQ
u-kEM-MsG4x4qAN8OS103Ybw,WRITE_REVIEW,r-AsipdmKfmbStqXcV3ehpyA
Food,IS,Food_Wonderful
b-jb0-JZMt-6Khsh-VwsDtLQ,HAS_MENU,Naan
u-imWAzO9XKd0yLhVzCRrCTw,ORDER,Chicken_Biryani
u-aZ4kSbVw8hb9UOweXD201g,WRITE_REVIEW,r-3gqiJZyj9wEqAz3bp0qwqw
b-oVuZtlCFg_zF090Nhtp0Ow,HAS_ASPECT,Food
u-tfcWQ_mKwgLkWu5pvpmsvg,WRITE_REVIEW,r-uM3chOLSK8SeOGAdyulSlg
u-yyEnnbYtl8caFy-r04qGJw,VISIT,b-OZwMMnRncrp7_uC-N3vV1Q
b-MMOEaEcq-bsg_RYWHSC4_g,HAS_REVIEW,r-iJth0_U7kbK4VDx6MBfO8g
Naan,IS,Naan_Excellent
b-gXLiBVCHIqoPEw2CaP3QmQ,HAS_MENU,Garlic_Naan
b-OZwMMnRncrp7_uC-N3vV1Q,HAS_REVIEW,r-rNPRxrGI-gHxVBppbLJ4KQ
b-MgsOZpYSntKSCzNROiWgYQ,HAS_MENU,Pakora
Food_Good,ASPECT_ATTR_FOR,b-DJuQgsoj-qmU0i5iTAa4aA
b-CB99Ifh4OnBTnuNdRjj_fQ,HAS_REVIEW,r-q_Agh0yNaAYAn_xZNt1E_Q
u-qIIWAMJ_LwlJi0fntUpsjg,RATE,b-5VOqWjRXUPc7b1A_NSI9mQ
u-Uea_V6r3pzynOXm_NoNBBw,ORDER,Murgh_Tikka_Masala
Food_Crap,ASPECT_ATTR_FOR,b-DJuQgsoj-qmU0i5iTAa4aA
u-36FNSGaxydhE8gBUZzaNjQ,WRITE_REVIEW,r-1GbX2-0lX8RJHZ00Fqw9xA
Dahi_Vada_Good,MENU_ATTR_FOR,b-SxuD7iY8QO88PNbSdNmNKg
b-TAnzFr9NixvCbvUdJMWL5Q,HAS_MENU,Bread
Food,IS,Food_Good
b-h-psPOmlY0mCOflb3S3rdQ,HAS_REVIEW,r-oB_WCUk_XM1q0H6MxT15qw
u-7hR-v0xxQaClIDrqxgjjvA,VISIT,b-Ksk5cLav4OtbUtpRGp5b4g
u-b5aQtaQkwCVG6q6VoXN6DQ,WRITE_REVIEW,r-BxCLAmyhMDscvS61inKNPA
